variant,train_step,mean_return,std_return
lr_1em3,0,-601.7567915400001,288.43431228015885
lr_1em3,10000,-277.11445663999996,179.90596341173784
lr_1em3,20000,-234.60616489999998,123.50525087231011
lr_1em3,30000,-236.65517134,245.0261198317269
lr_1em3,40000,-140.28832964,23.912255966673992
lr_1em3,50000,-131.89147312,119.77856185524742
lr_1em3,60000,-80.57245902,68.76758462943147
lr_1em3,70000,-49.57545852,116.0196825456065
lr_1em3,80000,-20.544463560000008,106.67648734430142
lr_1em3,90000,-19.40416856,108.18570465563022
lr_1em3,100000,-6.339880400000001,98.64411644258377
lr_1em3,110000,-7.076970099999997,91.05354644503817
lr_1em3,120000,-15.470244279999998,124.65636265514391
lr_1em3,130000,-6.173565480000002,78.63974980677516
lr_1em3,140000,37.52729058,111.70462853520706
lr_1em3,150000,50.287011379999996,119.53825298454082
lr_1em3,160000,78.53284354,132.9510793998363
lr_1em3,170000,85.7320718,131.1622334121358
lr_1em3,180000,76.4799941,97.46421487072026
lr_1em3,190000,90.91156894,94.93233051479524
lr_1em3,200000,103.28124505999999,36.51978524569864
lr_1em3,200704,116.84250418000002,93.04366916916639
lr_1em4,0,-553.0759451833334,284.2084284683178
lr_1em4,10000,-543.9470000666666,342.0262970449977
lr_1em4,20000,-1174.6158747833333,180.1686668903179
lr_1em4,30000,-1629.9365170666667,661.39007317609
lr_1em4,40000,-1916.4635283666669,1336.7592978007604
lr_1em4,50000,-1983.0965672333334,720.8497985967068
lr_1em4,60000,-1703.7816287333335,855.8314018377786
lr_1em4,70000,-900.6915474833335,458.1411572327914
lr_1em4,80000,-533.3483937166667,209.46652113155437
lr_1em4,90000,-342.42965064,138.59955814179776
lr_1em4,100000,-248.68041064,141.4248770635241
lr_1em4,110000,-144.79310536,152.11140366229327
lr_1em4,120000,-71.55667525999999,111.56720061645548
lr_1em4,130000,-53.931838860000006,74.47217146093199
lr_1em4,140000,-61.865098280000005,30.728339385876616
lr_1em4,150000,-58.9967157,38.10896152081531
lr_1em4,160000,-22.473099159999997,95.75415267464334
lr_1em4,170000,5.300463420000002,64.18072329082854
lr_1em4,180000,-19.48451174,67.28280133013011
lr_1em4,190000,-3.9688164399999986,64.7339473001777
lr_1em4,200000,15.92746104,86.64172499282837
lr_1em4,200704,2.5163236600000034,86.66113841840392
lr_3em4,0,-601.7567915400001,288.43431228015885
lr_3em4,10000,-528.17833272,175.81467063545517
lr_3em4,20000,-1078.6967874,627.0333318696692
lr_3em4,30000,-1141.3470317,401.940770651863
lr_3em4,40000,-1151.80994134,859.3844797154931
lr_3em4,50000,-690.3413373,789.0045222555832
lr_3em4,60000,-297.72912212,184.92244565920512
lr_3em4,70000,-193.24290914000002,251.96840661673215
lr_3em4,80000,-73.95739003999999,66.79239279575091
lr_3em4,90000,-51.69805678,48.06804804324798
lr_3em4,100000,-61.556030260000014,50.16268803800469
lr_3em4,110000,5.976377100000004,76.12868127580278
lr_3em4,120000,30.01633187999999,131.5645744010753
lr_3em4,130000,30.067619200000014,118.96583709266807
lr_3em4,140000,19.138436540000004,87.99941747173581
lr_3em4,150000,5.119181500000002,40.85175797778327
lr_3em4,160000,51.281818539999996,80.62518538664017
lr_3em4,170000,-6.746312279999998,98.45099958857097
lr_3em4,180000,37.08342037999999,144.13043626820544
lr_3em4,190000,31.280470700000002,113.73718699497371
lr_3em4,200000,-3.4781430000000055,90.98440720953772
lr_3em4,200704,31.025535679999997,104.82700889417949
