index,train_step,mean_return,std_return
0,0,-601.7567915400001,288.43431228015885
1,10000,-528.17833272,175.81467063545517
2,20000,-1078.6967874,627.0333318696692
3,30000,-1141.3470317,401.940770651863
4,40000,-1151.80994134,859.3844797154931
5,50000,-690.3413373,789.0045222555832
6,60000,-297.72912212,184.92244565920512
7,70000,-193.24290914000002,251.96840661673215
8,80000,-73.95739003999999,66.79239279575091
9,90000,-51.69805678,48.06804804324798
10,100000,-61.556030260000014,50.16268803800469
11,110000,5.976377100000004,76.12868127580278
12,120000,30.01633187999999,131.5645744010753
13,130000,30.067619200000014,118.96583709266807
14,140000,19.138436540000004,87.99941747173581
15,150000,5.119181500000002,40.85175797778327
16,160000,51.281818539999996,80.62518538664017
17,170000,-6.746312279999998,98.45099958857097
18,180000,37.08342037999999,144.13043626820544
19,190000,31.280470700000002,113.73718699497371
20,200000,-3.4781430000000055,90.98440720953772
21,210000,0.9476276000000041,91.84055176316151
22,220000,21.194357700000005,110.86916945430634
23,230000,26.242444920000004,91.34827104311336
24,240000,27.946786480000004,104.7351585226491
25,250000,-6.766100140000003,133.5221354488846
26,260000,54.908988879999995,115.0862323879763
27,270000,32.15949913999998,128.98118940982928
28,280000,40.92224718000001,112.05816227674485
29,290000,27.483009579999997,122.99793383567854
30,300000,38.62922682,108.44351684835979
31,300032,51.509599300000005,126.98709367147518
